Name,Price
AGRITECH,Final
GMMPFAUDLR,"4,090.00"
HCG,"1,270.00"
MHRIL,315.00
KTKBANK,378.75
TVSSCS,226.60
SBGLP,149.80
SYNGENE,744.95
MAZDOCK,670.00
KEI,"1,857.70"
BRITANNIA,"3,003.50"
PIXTRANS,"4,853.25"
KOLTEPATIL,"1,268.00"
ORISSAMINE,415.45
GUJGASLTD,"5,690.00"
GESHIP,528.00
POLYMED,909.00
PIDILITIND,"1,395.00"
INDIGO,"2,820.95"
IOLCP,"3,110.00"
ITI,354.05
CREDITACC,233.55
ACC,"1,310.00"
ORIENTHOT,"2,387.00"
IOB,113.45
NILKAMAL,56.50
ALLSEC,"1,779.75"
POWERGRID,714.45
GRPLTD,264.05
NITINSPIN,"5,500.00"
TARSONS,304.55
SUPRAJIT,405.00
CEATLTD,399.75
SENCO,"2,494.75"
BLUESTARCO,711.75
EPL,"1,265.45"
EQUITASBNK,183.65
PFIZER,91.50
RECLTD,"4,262.25"
MOIL,448.00
BORORENEW,265.60
TIIL,483.90
VIPIND,"1,583.90"
ITC,469.75
JSWSTEEL,421.95
SHIVAMILLS,792.00
SYRMA,83.00
KRISHANA,456.00
GUFICBIO,247.80
ASTRAMICRO,283.00
ABFRL,521.00
MOL,200.10
JINDRILL,78.00
IDBI,539.90
JKPAPER,76.60
DEVYANI,341.60
SBFC,147.65
TANLA,73.25
LOVABLE,803.40
RELIGARE,109.50
BIOCON,217.45
GOKUL,252.50
MFSL,36.00
MINDTECK,950.60
LAURUSLABS,171.80
DCMSHRIRAM,400.00
RKSWAMY,861.85
PFC,232.00
M&MFIN,397.00
MTNL,264.00
GLAND,32.80
PIIND,"1,688.00"
AMBER,"3,575.05"
PANAMAPET,"3,549.00"
GREENLAM,304.00
RADHIKAJWE,451.45
CONFIPET,58.35
AVANTIFEED,85.00
KAJARIACER,475.00
INDIANB,"1,200.05"
KMSUGAR,500.30
VINDHYATEL,27.65
CENTRALBK,"2,009.00"
MOLDTKPAC,54.00
KESORAMIND,802.85
AXISCADES,160.50
CAMS,503.85
LTIM,"2,739.60"
RIIL,"5,184.95"
AFFLE,"1,176.75"
SUTLEJTEX,"1,020.00"
ADVANIHOTR,51.00
TVSSRICHAK,149.95
VAIBHAVGBL,"3,933.40"
MUKANDLTD,359.50
COLPAL,143.00
NAVINFLUOR,"2,566.95"
BHEL,"2,918.05"
RICOAUTO,224.80
CONCORDBIO,110.70
JSWENERGY,"1,370.00"
PRAKASH,460.00
LUXIND,131.00
NEULANDLAB,"1,114.00"
ZENSARTECH,"5,630.00"
NETWORK18,523.95
MAZDA,82.95
REFEX,"1,140.00"
AIAENG,620.00
KRBL,"3,621.00"
VSTIND,283.95
COROMANDEL,"3,539.95"
XPROINDIA,"1,074.00"
SULA,"1,030.05"
STLTECH,505.00
